source;target;pre_link;post_link
44483;75725;0;1
64302;75725;1;0
83777;75725;0;1
44330;76061;0;1
8893;76061;0;1
44347;76061;0;1
44495;76817;0;1
54852;76817;0;1
44490;76817;0;1
9761;77055;0;1
9763;77055;0;1
44482;77374;0;1
44488;77861;0;1
44494;77861;0;1
75139;77861;0;1
44480;77861;0;1
65954;77912;0;1
98546;77912;0;1
40554;77939;1;1
40550;77939;1;1
8969;77939;1;1
8971;77939;0;1
64302;77939;0;1
44366;78160;0;1
67546;78160;0;1
64302;78200;0;1
8971;78200;0;1
40558;78200;0;1
40556;78200;0;1
10380;78692;0;1
2667;78692;0;1
9763;78692;1;1
44395;78692;0;1
9761;78692;1;1
44392;78692;0;1
44369;78692;1;1
44393;78692;1;1
44366;78692;0;1
44357;78692;0;1
44379;78692;1;0
44382;78692;0;1
44383;78692;1;0
44365;78692;0;1
82258;78692;0;1
55104;79401;0;1
44320;79401;0;1
10378;79401;1;1
10369;79929;0;1
40553;80744;0;1
40540;80744;0;1
8966;80744;1;1
40551;80744;1;0
8965;80744;0;1
10373;81128;1;1
10367;81128;0;1
44338;81128;1;1
44346;81128;1;1
10375;81128;1;1
59247;81128;0;1
44395;82258;0;1
55133;82258;0;1
10387;82258;0;1
44358;82258;0;1
10380;82258;0;1
44397;82258;0;1
85923;82258;0;1
44368;82258;0;1
44371;82258;0;1
44392;82258;0;1
8993;82258;0;1
9763;82258;0;1
78692;82258;0;1
44364;82258;0;1
9761;82258;0;1
84463;83146;0;1
85147;83146;0;1
10369;83146;0;1
44323;83146;0;1
10528;83741;0;1
10523;83741;0;1
44500;83741;0;1
56680;83741;0;1
10529;83741;0;1
44477;83741;0;1
44476;83777;1;1
10531;83777;0;1
10524;83777;0;1
44482;83777;1;1
75725;83777;0;1
44483;83777;0;1
44475;83777;0;1
44487;83777;0;1
85147;84463;1;1
83146;84463;0;1
44323;84463;0;1
84463;85147;1;1
83146;85147;0;1
44323;85147;0;1
44364;85923;0;1
44358;85923;0;1
44368;85923;0;1
10523;85923;0;1
44477;85923;0;1
44397;85923;0;1
10529;85923;0;1
44392;85923;0;1
10387;85923;0;1
55133;85923;0;1
82258;85923;0;1
44500;85923;0;1
10375;91572;0;1
65954;98546;0;1
10360;98546;0;1
77912;98546;0;1
8965;99938;0;1
40540;99938;0;1
40551;99938;0;1
8966;99938;0;1
44385;103467;0;1
