source;target;pre_link;post_link
44364;10387;0;1
44495;10523;0;1
44500;10523;1;1
10529;10523;1;1
44477;10523;1;1
83741;10523;0;1
56680;10523;0;1
10387;10523;0;1
54852;10523;0;1
44479;10523;0;1
10528;10523;0;1
44368;10523;0;1
85923;10523;0;1
44483;10524;1;1
44475;10524;0;1
44487;10524;1;1
44482;10524;1;1
44490;10524;1;0
75725;10524;0;1
83777;10524;0;1
10531;10524;0;1
44495;10524;1;0
44478;10524;1;0
75139;10524;0;1
10527;10526;1;1
44475;10526;1;0
64302;10526;1;1
75725;10526;1;0
64302;10527;1;1
10526;10527;1;1
44475;10527;1;0
75725;10527;1;0
44477;10528;1;1
10529;10528;1;1
44500;10528;1;1
10523;10528;0;1
83741;10528;0;1
44479;10528;0;1
56680;10528;0;1
10523;10529;1;1
44479;10529;1;1
44368;10529;1;1
10528;10529;1;1
10387;10529;1;1
44387;10529;1;0
56680;10529;0;1
85923;10529;0;1
83741;10529;0;1
44476;10531;1;0
10524;10531;0;1
54911;10531;0;1
83777;10531;0;1
44487;10531;1;0
40542;10701;1;0
40560;10701;1;0
40549;40538;1;1
8970;40538;1;1
8966;40540;1;1
8965;40540;1;1
40551;40540;1;1
99938;40540;0;1
40553;40540;1;0
80744;40540;0;1
40548;40541;1;1
56347;40541;1;1
40546;40541;1;0
40559;40541;1;0
8963;40541;1;1
71439;40541;1;0
40544;40541;1;0
65300;40541;0;1
8970;40541;0;1
40561;40541;1;0
10701;40542;1;0
8968;40543;1;1
74221;40543;1;1
40547;40543;1;1
40548;40544;1;0
56347;40544;1;0
8963;40544;1;0
40561;40544;1;0
40541;40544;1;0
8963;40546;1;1
40559;40546;1;1
40541;40546;1;0
71439;40546;1;1
74221;40547;1;1
40543;40547;1;1
8968;40547;1;1
40541;40548;1;1
56347;40548;1;1
40561;40548;1;0
8963;40548;1;1
40544;40548;1;0
40769;40548;1;0
8970;40548;0;1
65300;40548;0;1
8970;40549;1;1
40538;40549;1;1
40553;40549;0;1
8969;40550;1;1
77939;40550;1;1
40554;40550;1;1
40540;40551;1;1
40553;40551;1;0
8965;40551;1;1
80744;40551;1;0
99938;40551;0;1
60340;40552;1;1
40732;40552;1;1
65300;40552;1;1
8994;40552;1;1
80744;40553;0;1
40551;40553;1;0
40549;40553;0;1
8966;40553;1;0
40540;40553;1;0
8969;40554;1;1
77939;40554;1;1
40550;40554;1;1
40558;40556;1;1
8971;40556;1;1
78200;40556;0;1
64302;40556;1;1
40750;40557;0;1
40734;40557;1;0
10380;40557;0;1
9002;40557;0;1
8991;40557;1;1
40740;40557;0;1
64302;40558;1;1
40556;40558;1;1
8971;40558;1;1
78200;40558;0;1
40541;40559;1;0
71439;40559;1;1
40546;40559;1;1
8963;40559;1;1
10701;40560;1;0
8963;40561;1;0
56347;40561;1;0
40769;40561;1;0
40548;40561;1;0
40544;40561;1;0
40541;40561;1;0
8994;40732;1;1
40552;40732;1;1
40741;40733;1;1
40750;40734;0;1
8991;40734;1;1
40737;40734;1;0
40557;40734;1;0
40737;40735;1;1
40749;40735;1;0
40739;40735;1;0
8991;40735;0;1
40736;40735;1;0
40745;40735;1;1
40744;40735;1;0
40737;40736;1;1
44395;40736;0;1
40739;40736;1;1
40749;40736;1;1
40744;40736;1;1
40735;40736;1;0
10380;40736;0;1
70376;40736;0;1
40757;40736;1;0
40749;40737;1;1
40744;40737;1;0
8994;40737;0;1
40745;40737;1;1
8995;40737;1;1
40735;40737;1;1
40736;40737;1;1
40738;40737;0;1
40739;40737;1;1
40734;40737;1;0
8991;40737;1;1
8994;40738;1;0
40739;40738;0;1
40745;40738;0;1
40737;40738;0;1
8995;40738;0;1
40737;40739;1;1
8995;40739;1;1
40744;40739;1;0
40749;40739;1;0
40736;40739;1;1
40738;40739;0;1
8994;40739;0;1
40735;40739;1;0
40557;40740;0;1
10380;40740;0;1
40733;40741;1;1
8991;40741;0;1
70376;40744;0;1
40736;40744;1;1
40737;40744;1;0
44395;40744;0;1
10380;40744;0;1
40749;40744;1;0
40735;40744;1;0
40757;40744;1;0
40739;40744;1;0
40735;40745;1;1
40737;40745;1;1
8991;40745;0;1
40738;40745;0;1
40771;40747;0;1
40767;40747;0;1
44495;40747;0;1
8991;40747;0;1
40773;40747;0;1
40737;40749;1;1
8995;40749;1;0
40739;40749;1;0
40736;40749;1;1
40735;40749;1;0
40744;40749;1;0
40734;40750;0;1
8991;40750;0;1
40557;40750;0;1
40771;40750;0;1
40755;40753;1;1
8998;40753;0;1
40766;40753;0;1
40760;40754;0;1
9000;40754;0;1
8994;40755;0;1
40767;40755;1;1
40757;40755;0;1
40753;40755;1;1
40769;40755;1;1
40771;40755;1;1
8993;40755;1;1
8998;40755;0;1
40768;40755;0;1
53574;40755;1;0
40769;40757;1;1
40755;40757;0;1
40758;40757;1;1
8997;40757;1;1
40772;40757;1;1
8999;40757;1;0
40768;40757;1;1
40776;40757;0;1
40774;40757;1;0
9002;40757;0;1
40736;40757;1;0
40744;40757;1;0
40757;40758;1;1
40769;40758;1;1
40776;40758;1;1
8997;40758;1;1
40772;40758;1;1
40773;40758;0;1
8999;40758;1;0
40762;40760;1;0
53574;40760;1;0
40754;40760;0;1
9000;40760;0;1
53574;40762;1;1
40760;40762;1;0
40771;40762;1;0
40767;40762;1;0
8997;40764;1;0
8998;40764;1;1
8999;40764;1;0
40753;40766;0;1
44377;40767;1;1
40771;40767;1;1
40747;40767;0;1
40768;40767;0;1
40755;40767;1;1
8991;40767;0;1
44495;40767;0;1
40773;40767;1;1
40762;40767;1;0
44369;40767;1;1
40769;40767;1;1
44357;40767;0;1
40771;40768;0;1
40755;40768;0;1
40757;40768;1;1
40767;40768;0;1
9002;40768;0;1
44396;40769;0;1
40771;40769;1;1
40776;40769;1;1
8963;40769;1;0
40772;40769;1;1
40757;40769;1;1
44484;40769;0;1
8997;40769;1;0
40767;40769;1;1
40758;40769;1;1
40755;40769;1;1
44499;40769;0;1
8999;40769;1;0
56347;40769;1;0
40561;40769;1;0
40548;40769;1;0
40755;40771;1;1
40767;40771;1;1
8991;40771;0;1
40762;40771;1;0
44357;40771;0;1
40773;40771;1;1
40747;40771;0;1
44495;40771;0;1
40768;40771;0;1
40769;40771;1;1
44377;40771;1;0
40750;40771;0;1
44369;40771;1;0
40769;40772;1;1
40776;40772;1;1
40758;40772;1;1
40757;40772;1;1
44499;40772;0;1
44396;40772;0;1
40774;40772;1;0
8999;40772;1;0
8997;40772;1;0
44484;40772;0;1
40747;40773;0;1
40767;40773;1;1
44369;40773;0;1
44394;40773;0;1
40776;40773;1;1
44357;40773;0;1
44495;40773;0;1
40771;40773;1;1
40758;40773;0;1
40757;40774;1;0
40772;40774;1;0
9000;40775;0;1
8998;40775;1;1
40757;40776;0;1
44499;40776;0;1
40772;40776;1;1
40773;40776;1;1
44484;40776;0;1
40769;40776;1;1
40758;40776;1;1
44396;40776;0;1
44339;44319;0;1
44351;44320;0;1
44324;44320;0;1
10378;44320;0;1
79401;44320;0;1
44349;44321;1;1
85147;44323;0;1
10369;44323;1;1
44336;44323;1;0
44325;44323;1;1
83146;44323;0;1
44332;44323;1;0
44337;44323;1;0
10367;44323;1;0
84463;44323;0;1
44320;44324;0;1
10368;44324;1;0
44332;44325;1;0
44323;44325;1;1
44337;44325;1;0
10364;44328;1;0
44329;44328;0;1
44330;44328;0;1
44332;44329;1;0
10377;44329;1;1
44328;44329;0;1
44330;44329;1;1
10370;44329;1;0
44329;44330;1;1
10372;44330;0;1
44328;44330;0;1
76061;44330;0;1
8893;44330;0;1
10377;44330;1;0
44334;44331;1;0
10370;44331;1;0
44332;44331;0;1
44329;44332;1;0
44337;44332;1;0
44331;44332;0;1
44325;44332;1;0
44323;44332;1;0
59872;44333;0;1
44331;44334;1;0
10368;44335;1;1
44323;44336;1;0
10367;44336;1;0
44323;44337;1;0
44325;44337;1;0
44332;44337;1;0
81128;44338;1;1
10373;44338;1;1
44319;44339;0;1
73086;44343;0;1
44350;44343;1;0
44353;44343;0;1
68046;44343;1;0
10361;44344;1;1
73086;44344;1;0
44347;44344;0;1
10375;44346;1;1
81128;44346;1;1
10362;44346;1;0
10377;44346;1;0
59247;44346;0;1
10361;44347;0;1
76061;44347;0;1
44344;44347;0;1
44321;44349;1;1
10374;44349;1;1
44343;44350;1;0
68046;44351;1;1
44320;44351;0;1
44343;44353;0;1
73086;44353;0;1
10369;44353;1;0
44481;44356;1;1
10362;44356;1;0
10375;44356;0;1
44495;44357;0;1
44369;44357;1;1
44366;44357;1;1
10380;44357;0;1
78692;44357;0;1
44393;44357;1;1
44367;44357;1;0
10387;44357;1;0
44389;44357;1;0
44395;44357;0;1
44365;44357;0;1
40771;44357;0;1
40773;44357;0;1
44377;44357;1;0
44381;44357;1;0
40767;44357;0;1
